student_id,gender,ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
1,male,group E,some high school,standard,none,12,60,57
2,female,group D,associate's degree,standard,completed,39,69,3
3,male,group E,bachelor's degree,standard,none,100,29,60
4,male,group C,master's degree,standard,completed,10,46,83
5,female,group D,bachelor's degree,standard,completed,62,26,23
6,male,group D,high school,standard,none,25,68,98
7,male,group D,bachelor's degree,free/reduced,completed,39,40,53
8,female,group B,bachelor's degree,standard,completed,89,22,49
9,female,group E,associate's degree,standard,completed,5,8,83
10,female,group C,master's degree,free/reduced,completed,28,6,19
11,female,group B,master's degree,standard,none,78,19,1
12,male,group D,some high school,standard,none,87,4,22
13,male,group C,bachelor's degree,free/reduced,completed,38,40,40
14,female,group E,some college,free/reduced,none,65,91,15
15,male,group D,associate's degree,standard,completed,6,92,29
16,female,group E,some college,free/reduced,completed,71,17,72
17,male,group D,some high school,standard,completed,91,48,54
18,female,group D,some college,standard,completed,71,16,30
19,female,group C,high school,free/reduced,completed,7,82,10
20,female,group D,some college,free/reduced,none,65,74,58
21,female,group B,some high school,standard,completed,88,84,40
22,female,group C,associate's degree,standard,completed,87,22,26
23,male,group B,bachelor's degree,free/reduced,none,87,85,91
24,female,group D,some high school,standard,none,0,20,19
25,female,group C,bachelor's degree,free/reduced,completed,65,73,5
26,female,group E,master's degree,standard,none,94,22,29
27,male,group C,associate's degree,standard,completed,54,63,6
28,male,group D,bachelor's degree,standard,none,41,25,54
29,male,group B,master's degree,standard,completed,28,70,72
30,male,group C,high school,free/reduced,none,50,24,13
31,male,group D,master's degree,standard,none,54,67,98
32,male,group E,bachelor's degree,standard,completed,94,71,7
33,male,group A,bachelor's degree,standard,completed,29,91,7
34,male,group C,high school,free/reduced,completed,20,100,63
35,female,group B,associate's degree,free/reduced,none,52,59,20
36,male,group B,master's degree,standard,completed,14,37,98
37,male,group C,some college,standard,completed,7,75,14
38,male,group C,master's degree,standard,completed,90,10,39
39,female,group B,some high school,free/reduced,completed,1,69,73
40,male,group A,associate's degree,standard,none,84,51,32
41,female,group E,high school,free/reduced,none,20,7,20
42,female,group B,master's degree,standard,completed,4,22,53
43,female,group D,bachelor's degree,free/reduced,completed,98,41,55
44,male,group A,some college,free/reduced,completed,91,42,33
45,female,group C,associate's degree,free/reduced,completed,61,48,6
46,male,group A,bachelor's degree,standard,none,71,89,38
47,female,group B,bachelor's degree,free/reduced,completed,36,71,56
48,male,group D,associate's degree,free/reduced,none,65,32,33
49,male,group D,high school,free/reduced,none,26,36,20
50,male,group E,master's degree,free/reduced,completed,87,67,93
51,female,group C,high school,free/reduced,none,97,48,94
52,female,group C,master's degree,free/reduced,none,71,80,13
53,male,group A,master's degree,free/reduced,completed,18,24,62
54,male,group A,master's degree,standard,completed,41,1,19
55,female,group B,master's degree,standard,completed,29,46,98
56,female,group C,high school,free/reduced,completed,72,46,45
57,female,group A,some college,standard,completed,61,49,34
58,female,group E,associate's degree,standard,none,76,23,31
59,female,group A,some college,standard,none,41,54,86
60,male,group C,high school,standard,none,34,49,67
61,female,group B,high school,free/reduced,completed,4,43,33
62,female,group D,master's degree,standard,completed,65,14,73
63,male,group B,high school,free/reduced,completed,40,78,96
64,male,group A,bachelor's degree,standard,none,81,24,69
65,male,group E,associate's degree,standard,completed,97,89,38
66,male,group A,high school,free/reduced,none,82,74,57
67,female,group B,bachelor's degree,free/reduced,none,32,27,2
68,male,group C,bachelor's degree,free/reduced,none,69,83,25
69,male,group C,master's degree,standard,completed,87,71,8
70,female,group B,some college,standard,completed,25,83,59
71,female,group D,associate's degree,standard,completed,0,73,34
72,male,group E,high school,free/reduced,none,9,29,26
73,male,group C,associate's degree,free/reduced,completed,70,3,57
74,female,group A,bachelor's degree,standard,none,48,35,35
75,male,group B,bachelor's degree,standard,completed,55,82,44
76,female,group C,some college,standard,completed,5,47,81
77,female,group B,bachelor's degree,standard,completed,54,100,76
78,female,group E,bachelor's degree,free/reduced,none,6,35,8
79,male,group D,some high school,standard,none,42,16,84
80,female,group A,some high school,free/reduced,none,68,32,10
81,female,group A,master's degree,standard,completed,28,62,49
82,female,group C,high school,free/reduced,completed,25,39,37
83,female,group A,bachelor's degree,free/reduced,none,97,34,10
84,male,group E,some high school,free/reduced,completed,8,97,78
85,female,group C,associate's degree,free/reduced,completed,71,14,24
86,male,group B,some high school,standard,completed,24,55,18
87,male,group B,some high school,free/reduced,none,8,87,75
88,female,group D,bachelor's degree,free/reduced,none,18,23,51
89,female,group B,some high school,free/reduced,none,76,23,70
90,male,group D,some high school,free/reduced,completed,83,42,32
91,female,group B,associate's degree,free/reduced,none,88,10,45
92,female,group B,master's degree,standard,none,12,13,86
93,male,group D,high school,free/reduced,completed,95,73,4
94,male,group E,some high school,free/reduced,none,79,96,71
95,female,group A,some college,standard,none,42,65,32
96,male,group B,associate's degree,standard,none,66,65,61
97,female,group D,bachelor's degree,free/reduced,none,26,20,6
98,male,group E,bachelor's degree,free/reduced,completed,37,15,54
99,male,group A,master's degree,free/reduced,completed,47,100,25
100,male,group D,associate's degree,standard,none,69,70,94
101,male,group B,some high school,free/reduced,none,33,11,31
102,female,group B,master's degree,standard,none,30,26,26
103,female,group A,some college,standard,completed,22,100,94
104,male,group A,bachelor's degree,standard,completed,36,80,10
105,male,group C,some high school,free/reduced,none,43,9,88
106,female,group A,master's degree,free/reduced,none,77,55,48
107,female,group E,master's degree,standard,completed,65,16,96
108,female,group A,some college,standard,none,43,10,21
109,male,group B,bachelor's degree,standard,none,16,100,54
110,female,group D,high school,standard,none,21,8,17
111,female,group D,bachelor's degree,free/reduced,completed,16,25,52
112,female,group B,master's degree,free/reduced,none,39,74,90
113,male,group A,some college,free/reduced,completed,44,83,42
114,male,group E,high school,free/reduced,completed,44,33,68
115,male,group B,master's degree,standard,completed,66,21,30
116,female,group E,some high school,free/reduced,completed,74,84,95
117,female,group D,some college,free/reduced,completed,28,83,83
118,male,group C,bachelor's degree,standard,completed,10,24,94
119,female,group B,some college,free/reduced,completed,0,27,98
120,male,group A,some college,standard,completed,67,14,91
121,male,group A,associate's degree,standard,completed,52,57,31
122,female,group B,some high school,free/reduced,completed,94,0,85
123,male,group D,bachelor's degree,standard,none,76,92,24
124,male,group C,bachelor's degree,standard,completed,32,31,50
125,female,group D,some high school,standard,completed,83,77,41
126,male,group C,bachelor's degree,free/reduced,completed,41,11,76
127,female,group E,master's degree,free/reduced,completed,32,69,54
128,male,group B,some high school,standard,none,35,26,9
129,female,group B,master's degree,free/reduced,completed,42,35,52
130,female,group D,some college,standard,completed,15,93,21
131,female,group D,high school,free/reduced,completed,17,97,42
132,male,group B,some high school,free/reduced,none,98,5,60
133,male,group E,high school,free/reduced,none,96,15,43
134,male,group C,bachelor's degree,free/reduced,completed,39,85,18
135,female,group C,some college,standard,completed,29,15,35
136,male,group A,some high school,standard,completed,52,65,75
137,male,group E,some high school,standard,completed,33,33,30
138,male,group A,associate's degree,free/reduced,none,76,3,38
139,female,group E,bachelor's degree,free/reduced,none,33,74,8
140,male,group E,some high school,free/reduced,none,98,83,7
141,male,group E,master's degree,free/reduced,completed,70,21,21
142,male,group E,high school,free/reduced,completed,55,23,33
143,male,group D,associate's degree,free/reduced,none,52,80,41
144,female,group B,some college,free/reduced,none,63,79,58
145,female,group D,high school,standard,completed,24,45,22
146,male,group A,high school,standard,completed,48,82,26
147,male,group A,bachelor's degree,free/reduced,none,18,75,64
148,male,group A,master's degree,free/reduced,completed,3,54,83
149,male,group A,some college,standard,completed,1,53,61
150,male,group E,associate's degree,free/reduced,none,9,59,91
151,female,group B,master's degree,standard,none,97,23,91
152,male,group D,high school,standard,completed,10,51,92
153,female,group C,some college,standard,none,31,92,30
154,female,group D,high school,free/reduced,completed,28,75,23
155,female,group E,high school,standard,none,78,91,1
156,male,group A,bachelor's degree,standard,completed,100,25,91
157,female,group B,some high school,standard,completed,92,57,78
158,male,group A,some college,free/reduced,completed,47,20,100
159,female,group E,some college,free/reduced,none,14,85,80
160,female,group D,associate's degree,free/reduced,none,84,56,72
161,male,group A,high school,standard,none,93,65,19
162,female,group D,associate's degree,standard,completed,25,15,82
163,female,group B,associate's degree,standard,none,72,86,16
164,female,group E,some high school,free/reduced,completed,56,84,89
165,male,group E,some high school,free/reduced,none,6,21,75
166,female,group C,bachelor's degree,free/reduced,none,50,16,77
167,female,group D,some college,standard,none,17,85,93
168,male,group B,bachelor's degree,standard,completed,18,19,71
169,female,group D,associate's degree,standard,completed,83,32,31
170,male,group D,some high school,standard,completed,37,8,93
171,female,group A,bachelor's degree,standard,none,61,79,15
172,male,group C,high school,free/reduced,none,8,1,13
173,male,group E,bachelor's degree,standard,none,82,91,47
174,male,group C,some college,free/reduced,none,46,16,74
175,male,group A,associate's degree,free/reduced,completed,40,94,49
176,female,group E,associate's degree,free/reduced,completed,13,71,2
177,female,group A,some college,standard,none,4,22,44
178,female,group A,high school,standard,none,94,94,89
179,male,group D,high school,standard,none,12,74,13
180,female,group A,associate's degree,free/reduced,completed,32,72,8
181,male,group D,master's degree,standard,completed,29,92,97
182,female,group E,high school,free/reduced,none,92,80,59
183,female,group E,some high school,standard,completed,16,37,2
184,male,group C,master's degree,standard,completed,32,16,24
185,male,group A,master's degree,free/reduced,completed,42,10,39
186,male,group A,bachelor's degree,free/reduced,none,43,56,9
187,female,group E,high school,free/reduced,completed,95,62,66
188,female,group C,associate's degree,standard,none,9,66,4
189,female,group D,associate's degree,free/reduced,completed,59,81,25
190,male,group B,high school,standard,completed,81,49,28
191,female,group E,high school,free/reduced,none,90,95,66
192,female,group B,associate's degree,standard,none,6,70,41
193,male,group C,some high school,free/reduced,none,83,46,11
194,female,group D,master's degree,free/reduced,completed,76,62,30
195,female,group D,some college,standard,completed,13,56,63
196,female,group E,some high school,standard,none,97,7,33
197,male,group E,master's degree,free/reduced,none,59,81,50
198,male,group E,bachelor's degree,standard,completed,53,69,35
199,female,group C,some college,free/reduced,none,76,55,62
200,male,group C,bachelor's degree,standard,none,54,4,70
201,female,group E,some college,free/reduced,none,40,76,52
202,female,group B,some college,standard,completed,18,14,80
203,male,group B,high school,free/reduced,none,7,40,83
204,male,group A,bachelor's degree,free/reduced,none,12,30,9
205,female,group B,some high school,free/reduced,completed,30,41,63
206,male,group A,high school,standard,completed,3,69,93
207,female,group B,associate's degree,free/reduced,none,78,78,74
208,male,group E,master's degree,free/reduced,none,37,21,50
209,male,group D,high school,free/reduced,none,27,93,32
210,female,group B,bachelor's degree,standard,none,17,73,42
211,female,group D,master's degree,standard,completed,97,20,70
212,female,group C,some college,standard,completed,12,26,38
213,female,group A,master's degree,standard,none,90,11,97
214,male,group C,some high school,standard,none,47,67,37
215,female,group C,some college,free/reduced,none,73,73,38
216,male,group E,some college,standard,none,26,85,85
217,female,group E,high school,free/reduced,completed,32,63,64
218,female,group A,high school,free/reduced,completed,19,49,37
219,female,group E,associate's degree,standard,completed,32,42,16
220,female,group B,associate's degree,standard,none,69,64,95
221,female,group E,associate's degree,standard,none,55,26,41
222,female,group D,some college,standard,completed,69,99,15
223,male,group C,some high school,free/reduced,completed,84,82,80
224,male,group E,some high school,free/reduced,none,53,6,46
225,female,group B,some high school,free/reduced,none,78,36,28
226,male,group B,high school,free/reduced,completed,20,83,93
227,female,group B,some high school,free/reduced,completed,59,8,100
228,male,group E,associate's degree,standard,completed,67,39,9
229,male,group E,high school,standard,none,37,20,14
230,male,group D,some high school,standard,completed,63,69,56
231,male,group D,bachelor's degree,standard,none,36,7,24
232,female,group D,master's degree,standard,none,54,8,25
233,male,group B,some college,free/reduced,completed,86,79,46
